timestamp,T_out,F
1/1/1995 1:00,-18,-0.4
1/1/1995 2:00,-16.6,2.12
1/1/1995 3:00,-15.3,4.46
1/1/1995 4:00,-14.4,6.08
1/1/1995 5:00,-13,8.6
1/1/1995 6:00,-11.1,12.02
1/1/1995 7:00,-9.7,14.54
1/1/1995 8:00,-7.7,18.14
1/1/1995 9:00,-5.9,21.38
1/1/1995 10:00,-2.2,28.04
1/1/1995 11:00,1.4,34.52
1/1/1995 12:00,2.8,37.04
1/1/1995 13:00,4.4,39.92
1/1/1995 14:00,3.3,37.94
1/1/1995 15:00,3.9,39.02
1/1/1995 16:00,2.2,35.96
1/1/1995 17:00,-0.6,30.92
1/1/1995 18:00,-2.2,28.04
1/1/1995 19:00,-5,23
1/1/1995 20:00,-5.6,21.92
1/1/1995 21:00,-6.1,21.02
1/1/1995 22:00,-6.1,21.02
1/1/1995 23:00,-6.1,21.02
1/1/1995 0:00,-5,23
1/2/1995 1:00,-5,23
1/2/1995 2:00,-5.6,21.92
1/2/1995 3:00,-5,23
1/2/1995 4:00,-6.7,19.94
1/2/1995 5:00,-5.6,21.92
1/2/1995 6:00,-6.1,21.02
1/2/1995 7:00,-4.4,24.08
1/2/1995 8:00,-2.8,26.96
1/2/1995 9:00,-1.7,28.94
1/2/1995 10:00,2.2,35.96
1/2/1995 11:00,5.6,42.08
1/2/1995 12:00,8.9,48.02
1/2/1995 13:00,9.4,48.92
1/2/1995 14:00,9.4,48.92
1/2/1995 15:00,10,50
1/2/1995 16:00,7.8,46.04
1/2/1995 17:00,6.7,44.06
1/2/1995 18:00,5,41
1/2/1995 19:00,1.1,33.98
1/2/1995 20:00,0,32
1/2/1995 21:00,-1.7,28.94
1/2/1995 22:00,-1.1,30.02
1/2/1995 23:00,0.6,33.08
1/2/1995 0:00,0,32
1/3/1995 1:00,-0.6,30.92
1/3/1995 2:00,-0.6,30.92
1/3/1995 3:00,-1.1,30.02
1/3/1995 4:00,-1.7,28.94
1/3/1995 5:00,-1.7,28.94
1/3/1995 6:00,-1.1,30.02
1/3/1995 7:00,-1.1,30.02
1/3/1995 8:00,-0.6,30.92
1/3/1995 9:00,3.3,37.94
1/3/1995 10:00,5.6,42.08
1/3/1995 11:00,6.1,42.98
1/3/1995 12:00,6.7,44.06
1/3/1995 13:00,5.6,42.08
1/3/1995 14:00,4.6,40.28
1/3/1995 15:00,2.3,36.14
1/3/1995 16:00,-0.3,31.46
1/3/1995 17:00,-3,26.6
1/3/1995 18:00,-5.8,21.56
1/3/1995 19:00,-5.6,21.92
1/3/1995 20:00,-7.2,19.04
1/3/1995 21:00,-8.8,16.16
1/3/1995 22:00,-9.9,14.18
1/3/1995 23:00,-11.4,11.48
1/3/1995 0:00,-12.4,9.68
1/4/1995 1:00,-13.5,7.7
1/4/1995 2:00,-16.2,2.84
1/4/1995 3:00,-16.2,2.84
1/4/1995 4:00,-14.7,5.54
1/4/1995 5:00,-14.2,6.44
1/4/1995 6:00,-13.3,8.06
1/4/1995 7:00,-11.8,10.76
1/4/1995 8:00,-9.1,15.62
1/4/1995 9:00,-5.9,21.38
1/4/1995 10:00,-0.5,31.1
1/4/1995 11:00,3.3,37.94
1/4/1995 12:00,3.8,38.84
1/4/1995 13:00,8,46.4
1/4/1995 14:00,9.6,49.28
1/4/1995 15:00,11.1,51.98
1/4/1995 16:00,10,50
1/4/1995 17:00,7.2,44.96
1/4/1995 18:00,7.2,44.96
1/4/1995 19:00,6.1,42.98
1/4/1995 20:00,7.2,44.96
1/4/1995 21:00,6.1,42.98
1/4/1995 22:00,5.6,42.08
1/4/1995 23:00,5,41
1/4/1995 0:00,10,50
1/5/1995 1:00,5,41
1/5/1995 2:00,10.6,51.08
1/5/1995 3:00,11.1,51.98
