timestamp,T_out,F
1/1/2004 1:00,-8.3,17.06
1/1/2004 2:00,-7.8,17.96
1/1/2004 3:00,-7.2,19.04
1/1/2004 4:00,-6.7,19.94
1/1/2004 5:00,-6.1,21.02
1/1/2004 6:00,-6.1,21.02
1/1/2004 7:00,-5.6,21.92
1/1/2004 8:00,-5,23
1/1/2004 9:00,-4.4,24.08
1/1/2004 10:00,-3.3,26.06
1/1/2004 11:00,-2.2,28.04
1/1/2004 12:00,-1.7,28.94
1/1/2004 13:00,-0.6,30.92
1/1/2004 14:00,0,32
1/1/2004 15:00,0.6,33.08
1/1/2004 16:00,0.6,33.08
1/1/2004 17:00,0.6,33.08
1/1/2004 18:00,0.6,33.08
1/1/2004 19:00,0.6,33.08
1/1/2004 20:00,0,32
1/1/2004 21:00,-1.1,30.02
1/1/2004 22:00,-1.7,28.94
1/1/2004 23:00,-2.2,28.04
1/1/2004 0:00,-3.9,24.98
1/2/2004 1:00,-4.4,24.08
1/2/2004 2:00,-4.4,24.08
1/2/2004 3:00,-5.6,21.92
1/2/2004 4:00,-6.1,21.02
1/2/2004 5:00,-5,23
1/2/2004 6:00,-3.9,24.98
1/2/2004 7:00,-3.9,24.98
1/2/2004 8:00,-3.3,26.06
1/2/2004 9:00,-2.2,28.04
1/2/2004 10:00,-1.7,28.94
1/2/2004 11:00,-1.1,30.02
1/2/2004 12:00,0,32
1/2/2004 13:00,1.7,35.06
1/2/2004 14:00,1.7,35.06
1/2/2004 15:00,1.7,35.06
1/2/2004 16:00,1.7,35.06
1/2/2004 17:00,1.7,35.06
1/2/2004 18:00,2.2,35.96
1/2/2004 19:00,1.7,35.06
1/2/2004 20:00,1.7,35.06
1/2/2004 21:00,-1.7,28.94
1/2/2004 22:00,-2.2,28.04
1/2/2004 23:00,-5,23
1/2/2004 0:00,-7.2,19.04
1/3/2004 1:00,-8.3,17.06
1/3/2004 2:00,-9.4,15.08
1/3/2004 3:00,-10.6,12.92
1/3/2004 4:00,-11.1,12.02
1/3/2004 5:00,-11.7,10.94
1/3/2004 6:00,-11.7,10.94
1/3/2004 7:00,-12.2,10.04
1/3/2004 8:00,-12.8,8.96
1/3/2004 9:00,-12.2,10.04
1/3/2004 10:00,-11.7,10.94
1/3/2004 11:00,-10.6,12.92
1/3/2004 12:00,-10,14
1/3/2004 13:00,-8.3,17.06
1/3/2004 14:00,-7.8,17.96
1/3/2004 15:00,-7.8,17.96
1/3/2004 16:00,-8.3,17.06
1/3/2004 17:00,-9.4,15.08
1/3/2004 18:00,-9.4,15.08
1/3/2004 19:00,-10,14
1/3/2004 20:00,-10.6,12.92
1/3/2004 21:00,-11.1,12.02
1/3/2004 22:00,-11.1,12.02
1/3/2004 23:00,-11.7,10.94
1/3/2004 0:00,-12.2,10.04
1/4/2004 1:00,-12.8,8.96
1/4/2004 2:00,-12.8,8.96
1/4/2004 3:00,-13.3,8.06
1/4/2004 4:00,-13.9,6.98
1/4/2004 5:00,-15,5
1/4/2004 6:00,-15.6,3.92
1/4/2004 7:00,-15.6,3.92
1/4/2004 8:00,-16.1,3.02
1/4/2004 9:00,-15.6,3.92
1/4/2004 10:00,-15,5
1/4/2004 11:00,-14.4,6.08
1/4/2004 12:00,-13.9,6.98
1/4/2004 13:00,-13.9,6.98
1/4/2004 14:00,-13.3,8.06
1/4/2004 15:00,-13.3,8.06
1/4/2004 16:00,-13.3,8.06
1/4/2004 17:00,-13.3,8.06
1/4/2004 18:00,-13.3,8.06
1/4/2004 19:00,-13.9,6.98
1/4/2004 20:00,-14.4,6.08
1/4/2004 21:00,-15,5
1/4/2004 22:00,-15,5
1/4/2004 23:00,-15,5
1/4/2004 0:00,-15.6,3.92
1/5/2004 1:00,-15.6,3.92
1/5/2004 2:00,-16.7,1.94
1/5/2004 3:00,-18.3,-0.94
1/5/2004 4:00,-20,-4
1/5/2004 5:00,-20,-4
1/5/2004 6:00,-20.6,-5.08
1/5/2004 7:00,-20.6,-5.08
1/5/2004 8:00,-21.1,-5.98
1/5/2004 9:00,-20.6,-5.08
1/5/2004 10:00,-19.4,-2.92
1/5/2004 11:00,-19.4,-2.92
1/5/2004 12:00,-18.9,-2.02
1/5/2004 13:00,-18.9,-2.02
1/5/2004 14:00,-18.9,-2.02
1/5/2004 15:00,-18.9,-2.02
1/5/2004 16:00,-19.4,-2.92
1/5/2004 17:00,-20,-4
1/5/2004 18:00,-20,-4
1/5/2004 19:00,-20,-4
1/5/2004 20:00,-20,-4
1/5/2004 21:00,-20,-4
1/5/2004 22:00,-20,-4
1/5/2004 23:00,-20,-4
1/5/2004 0:00,-19.4,-2.92
1/6/2004 1:00,-19.4,-2.92
1/6/2004 2:00,-18.9,-2.02
1/6/2004 3:00,-18.3,-0.94
1/6/2004 4:00,-17.8,-0.04
1/6/2004 5:00,-17.8,-0.04
1/6/2004 6:00,-17.8,-0.04
1/6/2004 7:00,-17.2,1.04
1/6/2004 8:00,-16.7,1.94
1/6/2004 9:00,-16.1,3.02
1/6/2004 10:00,-15,5
1/6/2004 11:00,-13.9,6.98
1/6/2004 12:00,-13.3,8.06
1/6/2004 13:00,-12.2,10.04
1/6/2004 14:00,-12.2,10.04
1/6/2004 15:00,-11.7,10.94
1/6/2004 16:00,-11.7,10.94
1/6/2004 17:00,-12.2,10.04
1/6/2004 18:00,-12.2,10.04
1/6/2004 19:00,-12.2,10.04
1/6/2004 20:00,-12.2,10.04
1/6/2004 21:00,-12.8,8.96
1/6/2004 22:00,-13.3,8.06
1/6/2004 23:00,-13.3,8.06
1/6/2004 0:00,-13.3,8.06
1/7/2004 1:00,-13.9,6.98
1/7/2004 2:00,-13.9,6.98
1/7/2004 3:00,-14.4,6.08
1/7/2004 4:00,-14.4,6.08
1/7/2004 5:00,-14.4,6.08
1/7/2004 6:00,-14.4,6.08
1/7/2004 7:00,-14.4,6.08
1/7/2004 8:00,-15,5
1/7/2004 9:00,-13.9,6.98
1/7/2004 10:00,-12.8,8.96
1/7/2004 11:00,-11.7,10.94
1/7/2004 12:00,-10,14
1/7/2004 13:00,-8.9,15.98
1/7/2004 14:00,-7.8,17.96
1/7/2004 15:00,-7.2,19.04
1/7/2004 16:00,-7.2,19.04
1/7/2004 17:00,-8.3,17.06
1/7/2004 18:00,-8.3,17.06
1/7/2004 19:00,-8.9,15.98
1/7/2004 20:00,-8.3,17.06
1/7/2004 21:00,-8.9,15.98
1/7/2004 22:00,-8.9,15.98
1/7/2004 23:00,-10,14
1/7/2004 0:00,-10.6,12.92
1/8/2004 1:00,-10.6,12.92
1/8/2004 2:00,-11.7,10.94
1/8/2004 3:00,-11.7,10.94
1/8/2004 4:00,-12.2,10.04
1/8/2004 5:00,-11.7,10.94
1/8/2004 6:00,-11.7,10.94
1/8/2004 7:00,-11.1,12.02
1/8/2004 8:00,-10.6,12.92
1/8/2004 9:00,-10.6,12.92
1/8/2004 10:00,-9.4,15.08
1/8/2004 11:00,-8.9,15.98
1/8/2004 12:00,-8.3,17.06
1/8/2004 13:00,-7.2,19.04
1/8/2004 14:00,-7.2,19.04
1/8/2004 15:00,-7.2,19.04
1/8/2004 16:00,-6.7,19.94
1/8/2004 17:00,-7.8,17.96
1/8/2004 18:00,-8.3,17.06
1/8/2004 19:00,-8.9,15.98
1/8/2004 20:00,-8.9,15.98
1/8/2004 21:00,-9.4,15.08
1/8/2004 22:00,-10,14
1/8/2004 23:00,-10,14
1/8/2004 0:00,-9.4,15.08
1/9/2004 1:00,-9.4,15.08
1/9/2004 2:00,-9.4,15.08
1/9/2004 3:00,-9.4,15.08
1/9/2004 4:00,-9.4,15.08
1/9/2004 5:00,-8.9,15.98
1/9/2004 6:00,-9.4,15.08
1/9/2004 7:00,-9.4,15.08
1/9/2004 8:00,-9.4,15.08
1/9/2004 9:00,-9.4,15.08
1/9/2004 10:00,-8.9,15.98
1/9/2004 11:00,-8.3,17.06
1/9/2004 12:00,-7.2,19.04
1/9/2004 13:00,-7.2,19.04
1/9/2004 14:00,-6.1,21.02
1/9/2004 15:00,-6.1,21.02
1/9/2004 16:00,-6.1,21.02
1/9/2004 17:00,-6.1,21.02
