timestamp,T_out
1/01/04 01:00,-8.3
1/01/04 02:00,-7.8
1/01/04 03:00,-7.2
1/01/04 04:00,-6.7
1/01/04 05:00,-6.1
1/01/04 06:00,-6.1
1/01/04 07:00,-5.6
1/01/04 08:00,-5
1/01/04 09:00,-4.4
1/01/04 10:00,-3.3
1/01/04 11:00,-2.2
1/01/04 12:00,-1.7
1/01/04 13:00,-0.6
1/01/04 14:00,0
1/01/04 15:00,0.6
1/01/04 16:00,0.6
1/01/04 17:00,0.6
1/01/04 18:00,0.6
1/01/04 19:00,0.6
1/01/04 20:00,0
1/01/04 21:00,-1.1
1/01/04 22:00,-1.7
1/01/04 23:00,-2.2
1/01/04 00:00,-3.9
1/02/04 01:00,-4.4
1/02/04 02:00,-4.4
1/02/04 03:00,-5.6
1/02/04 04:00,-6.1
1/02/04 05:00,-5
1/02/04 06:00,-3.9
1/02/04 07:00,-3.9
1/02/04 08:00,-3.3
1/02/04 09:00,-2.2
1/02/04 10:00,-1.7
1/02/04 11:00,-1.1
1/02/04 12:00,0
1/02/04 13:00,1.7
1/02/04 14:00,1.7
1/02/04 15:00,1.7
1/02/04 16:00,1.7
1/02/04 17:00,1.7
1/02/04 18:00,2.2
1/02/04 19:00,1.7
1/02/04 20:00,1.7
1/02/04 21:00,-1.7
1/02/04 22:00,-2.2
1/02/04 23:00,-5
1/02/04 00:00,-7.2
1/03/04 01:00,-8.3
1/03/04 02:00,-9.4
1/03/04 03:00,-10.6
1/03/04 04:00,-11.1
1/03/04 05:00,-11.7
1/03/04 06:00,-11.7
1/03/04 07:00,-12.2
1/03/04 08:00,-12.8
1/03/04 09:00,-12.2
1/03/04 10:00,-11.7
1/03/04 11:00,-10.6
1/03/04 12:00,-10
1/03/04 13:00,-8.3
1/03/04 14:00,-7.8
1/03/04 15:00,-7.8
1/03/04 16:00,-8.3
1/03/04 17:00,-9.4
1/03/04 18:00,-9.4
1/03/04 19:00,-10
1/03/04 20:00,-10.6
1/03/04 21:00,-11.1
1/03/04 22:00,-11.1
1/03/04 23:00,-11.7
1/03/04 00:00,-12.2
1/04/04 01:00,-12.8
1/04/04 02:00,-12.8
1/04/04 03:00,-13.3
1/04/04 04:00,-13.9
1/04/04 05:00,-15
1/04/04 06:00,-15.6
1/04/04 07:00,-15.6
1/04/04 08:00,-16.1
1/04/04 09:00,-15.6
1/04/04 10:00,-15
1/04/04 11:00,-14.4
1/04/04 12:00,-13.9
1/04/04 13:00,-13.9
1/04/04 14:00,-13.3
1/04/04 15:00,-13.3
1/04/04 16:00,-13.3
1/04/04 17:00,-13.3
1/04/04 18:00,-13.3
1/04/04 19:00,-13.9
1/04/04 20:00,-14.4
1/04/04 21:00,-15
1/04/04 22:00,-15
1/04/04 23:00,-15
1/04/04 00:00,-15.6
1/05/04 01:00,-15.6
1/05/04 02:00,-16.7
1/05/04 03:00,-18.3
1/05/04 04:00,-20
1/05/04 05:00,-20
1/05/04 06:00,-20.6
1/05/04 07:00,-20.6
1/05/04 08:00,-21.1
1/05/04 09:00,-20.6
1/05/04 10:00,-19.4
1/05/04 11:00,-19.4
1/05/04 12:00,-18.9
1/05/04 13:00,-18.9
1/05/04 14:00,-18.9
1/05/04 15:00,-18.9
1/05/04 16:00,-19.4
1/05/04 17:00,-20
1/05/04 18:00,-20
1/05/04 19:00,-20
1/05/04 20:00,-20
1/05/04 21:00,-20
1/05/04 22:00,-20
1/05/04 23:00,-20
1/05/04 00:00,-19.4
1/06/04 01:00,-19.4
1/06/04 02:00,-18.9
1/06/04 03:00,-18.3
1/06/04 04:00,-17.8
1/06/04 05:00,-17.8
1/06/04 06:00,-17.8
1/06/04 07:00,-17.2
1/06/04 08:00,-16.7
1/06/04 09:00,-16.1
1/06/04 10:00,-15
1/06/04 11:00,-13.9
1/06/04 12:00,-13.3
1/06/04 13:00,-12.2
1/06/04 14:00,-12.2
1/06/04 15:00,-11.7
1/06/04 16:00,-11.7
1/06/04 17:00,-12.2
1/06/04 18:00,-12.2
1/06/04 19:00,-12.2
1/06/04 20:00,-12.2
1/06/04 21:00,-12.8
1/06/04 22:00,-13.3
1/06/04 23:00,-13.3
1/06/04 00:00,-13.3
1/07/04 01:00,-13.9
1/07/04 02:00,-13.9
1/07/04 03:00,-14.4
1/07/04 04:00,-14.4
1/07/04 05:00,-14.4
1/07/04 06:00,-14.4
1/07/04 07:00,-14.4
1/07/04 08:00,-15
1/07/04 09:00,-13.9
1/07/04 10:00,-12.8
1/07/04 11:00,-11.7
1/07/04 12:00,-10
1/07/04 13:00,-8.9
1/07/04 14:00,-7.8
1/07/04 15:00,-7.2
1/07/04 16:00,-7.2
1/07/04 17:00,-8.3
1/07/04 18:00,-8.3
